;SKU;Faturamento
719;8.09.74.05.01;3755.71
720;8.04.04.07.18;3732.6499999999996
721;8.25.101.04.18;3730.3
722;24.11.175.42.00;3725.9
723;24.11.175.47.57;3724.0
724;8.07.04.39.10;3700.6
725;8.09.68.04.76;3699.0
726;8.30.74.01.01;3674.5699999999997
727;8.01.28.16.06;3665.42
728;21.14.50.1082.00;3661.64
729;24.56.66.161.00;3643.54
730;24.11.175.93.57;3637.8599999999997
731;24.54.66.84.00;3623.64
732;8.09.68.01.01;3622.32
733;24.10.159.315.00;3616.81
734;8.07.32.41.00;3614.42
735;8.01.53.07.07;3614.39
736;8.07.53.11.01;3599.6
737;24.10.159.347.07;3598.72
738;24.11.175.50.57;3591.7200000000003
739;24.51.159.09.06;3590.97
740;8.30.33.49.69;3580.11
741;8.09.28.82.01;3580.01
742;8.08.53.02.10;3577.0
743;8.09.04.111.10;3570.7000000000003
744;8.07.04.21.01;3563.8
745;21.14.50.1049.00;3552.55
746;8.09.04.67.10;3542.7000000000003
747;21.62.131.38.57;3529.0
748;24.11.175.158.57;3521.5099999999998
749;21.14.50.394.00;3520.63
750;8.09.76.67.18;3518.0
751;8.05.01.12.00;3498.3999999999996
752;21.14.50.667.00;3492.2999999999997
753;8.25.01.40.01;3487.5400000000004
754;8.07.03.19.10;3481.45
755;21.14.50.302.00;3458.1
756;24.52.66.67.00;3457.52
757;24.11.175.84.06;3453.1400000000003
758;24.11.175.154.57;3452.56
759;24.50.66.714.00;3450.7999999999997
760;8.09.04.122.57;3446.7000000000003
761;21.40.50.57.00;3446.5699999999997
762;24.11.159.95.00;3439.63
763;8.04.03.06.57;3435.2999999999997
764;24.10.159.285.00;3429.3900000000003
765;24.10.159.360.00;3427.31
766;24.57.66.355.08;3423.49
767;8.03.04.60.07;3416.2999999999997
768;8.09.28.81.01;3398.9
769;24.54.159.23.00;3395.6800000000003
770;24.53.66.165.00;3381.54
771;24.50.66.11.00;3380.3900000000003
772;24.54.66.259.00;3364.47
773;8.25.101.03.07;3333.83
774;8.30.53.60.00;3313.65
775;24.70.159.05.01;3298.96
776;21.14.46.362.06;3285.84
777;24.10.159.413.06;3280.9
778;8.09.53.44.01;3280.8
779;8.09.03.118.01;3278.3
780;8.25.53.93.00;3278.0
781;24.52.66.428.00;3274.87
782;8.03.71.06.00;3272.25
783;24.52.66.206.11;3261.07
784;24.50.66.333.00;3258.5699999999997
785;8.30.53.52.00;3251.02
786;8.05.28.10.18;3249.85
787;8.07.04.37.10;3237.8
788;21.14.46.185.01;3237.7000000000003
789;8.30.33.05.00;3196.85
790;24.11.175.79.57;3192.43
791;24.57.66.668.00;3180.4
792;24.54.66.319.00;3170.83
